,Novel,Male/Female,Number Of Quotes,Average Quote Length,Adjective Ratio,Average Sentence Length,Masculine Words,Feminine Words
135,The Europeans,Male,2067,10.322689888727623,0.06207526118267573,12.216115051221434,42,23
136,The Fair Maid of Perth,Male,3579,27.33500977926796,0.052940627375327266,23.22920816733068,540,34
137,The Firm of Girdlestone,Male,3120,20.796794871794873,0.05581671063161327,14.950484506442336,108,25
138,The Fortunes of Nigel,Male,3857,24.91599688877366,0.053873744038992484,25.61170008941116,619,71
139,The Gilded Age,Male,2209,24.491625169760074,0.05136378641577948,16.24801527484675,230,22
140,The Golden Canyon,Male,781,26.492957746478872,0.04008171164390927,14.511558538404175,45,3
141,The Great Shadow,Male,705,42.804255319148936,0.04881117527502662,18.228178694158075,76,5
142,The Hand of Ethelberta,Male,105,8.219047619047616,0.05029225452659429,17.096235795454547,124,34
143,The Haunted Man and the Ghost's Bargain,Male,896,16.564732142857142,0.05663353500432153,14.464173228346455,21,4
144,The Heart of Mid Lothian Vol. 1,Male,1780,28.41797752808989,0.0552643124307523,25.173883473135344,138,32
145,THe House of the Seven Gables,Male,943,22.31071049840933,0.06878306878306878,21.501095835823865,105,24
146,The Invisible Man,Male,1237,18.42683912691997,0.048495297805642636,11.447233948011553,36,7
147,The Island of Doctor Moreau,Male,659,11.836115326251896,0.05295546558704453,14.588364091335627,37,3
148,The Last Man,Female,770,65.20129870129871,0.05949344023323616,24.348690525161114,170,22
149,The Light that Failed,Male,59,16.11864406779661,0.05759063838679344,11.924342635909015,82,18
150,The Lion of Saint Mark,Male,2035,29.641277641277643,0.03778753630769655,20.369838123554675,105,10
151,The Lion of the North,Male,965,33.182383419689124,0.04291725105189341,24.537843268586737,298,2
152,The Marble Faun Vol. 1,Male,896,19.287946428571427,0.06769332334607132,21.540327868852454,44,9
153,The Mark of Cain,Male,1247,16.320769847634324,0.061145799978653013,15.920116003163722,67,12
154,The Master of Ballantrae,Male,1561,15.436899423446507,0.04941688263606072,18.147058823529417,120,4
155,The Mayor of Casterbridge,Male,2157,15.191469633750579,0.052848116765440566,16.320767743717205,106,31
156,The Mysterious Key and What it Opened,Female,423,29.49408983451537,0.05656059285091543,16.84974093264249,17,7
157,The Mystery of Cloomber,Male,780,21.31282051282051,0.05654018150729975,19.06201834862385,75,6
158,The N Of The Narcissus,Male,983,8.84028484231943,0.06322382248804502,10.40069495245062,80,14
159,The Narrative of Arthur Gordon Pym of Nantucket,Male,66,238.8939393939394,0.055827216062402055,25.838015955601808,50,5
160,The Old Curiosity Shop,Male,65,9.76923076923077,0.06119095601427998,20.679444811632518,119,49
161,The Parasite,Male,220,39.82727272727273,0.05020005774862847,13.24140127388535,23,3
162,The Pickwick Papers,Male,782,8.269820971867007,0.062219162841735474,13.095217522789133,276,65
163,The Portrait of a Lady Vol. 1,Male,2999,14.454818272757587,0.06558528472415484,15.60171807887544,77,23
164,The Portrait of a Lady Vol. 2,Male,2688,14.004092261904766,0.06011772257350832,14.486019634646453,54,23
165,The Prince and the Pauper,Male,1056,21.084280303030305,0.059453338714740574,18.87503227472244,506,14
166,The Professor,Female,1228,20.886807817589574,0.06203444855261971,22.92449030958973,65,51
167,The Queen's Cup,Male,2106,26.50712250712252,0.03749686766749436,17.52882797731569,136,9
168,The Refugees,Male,2974,19.55749831876261,0.048476977411424815,15.5411388513098,447,60
169,The Return of the Native,Male,3231,18.94614670380687,0.04680712423979149,15.094019760790431,86,24
170,The Reverberator,Male,1352,12.13387573964497,0.062180037081108,14.271684945164509,43,3
171,The Scarlet Letter,Male,726,20.825068870523413,0.06641489650887344,21.957436027362558,124,13
172,The Sign of the Four,Male,858,24.53030303030303,0.05253702090592335,14.118981907390369,40,7
173,The Stark Munro Letters,Male,755,18.985430463576158,0.05876197120568275,17.266566588033456,104,17
174,The Talisman,Male,2310,24.07792207792208,0.055712517062950384,26.51489533011272,560,35
175,The Tiger of Mysore,Male,2044,31.02446183953033,0.03940789355497404,19.27459072774797,119,44
176,The Time Machine,Male,186,139.90322580645162,0.06270088633485926,16.27301878149336,35,10
177,The Tragedy of Puddnhead Wilson,Male,773,40.55627425614489,0.050293916011494084,17.381615598885794,71,11
178,The Tragedy of the Korosko,Male,952,27.481092436974787,0.05782576472173561,15.482576228998132,69,18
179,The Trumpet Major,Male,53,5.79245283018868,0.047689983036592484,16.209328151027208,195,38
180,The War of the Worlds,Male,418,11.507177033492825,0.05883239274560297,17.055060728744937,45,8
181,The Well Beloved,Male,27,6.0,0.0584644104996279,16.34833127317676,46,11
182,The White Company,Male,3212,22.342777085927768,0.056389250440241935,18.411188142481468,176,37
183,The Wonderful Visit,Male,1401,15.035688793718775,0.04845581412963208,9.563569116967177,27,14
184,The Woodlanders,Male,2202,22.252497729336966,0.049366389847678785,17.184931506849313,72,39
185,The Young Buglers,Male,1480,35.24662162162162,0.048990363469151116,21.190695809103673,203,16
186,The Young Carthaginian,Male,969,33.17750257997936,0.046300708991062464,23.725548310610552,217,13
187,The Young Colonists,Male,665,46.702255639097736,0.04777139851864837,21.659830462127427,184,4
188,The Young Franc Tireurs and Their Adventures in the Franco-Prussian War,Male,1984,24.376512096774192,0.04500777581148062,17.933547514372673,165,17
189,Theo A Sprightly Love Story,Female,609,36.86371100164204,0.059763997644338776,15.378806333739345,26,18
190,Those Other Animals,Male,121,14.991735537190086,0.06651965163019205,25.798168955472327,54,12
191,Through Russian Snows,Male,1402,42.690442225392296,0.04500472784229938,20.604823428079246,224,7
192,Through the Fray,Male,1698,32.18256772673734,0.04402118264431076,18.31253232201345,118,12
193,Through the Looking Glass,Male,145,7.682758620689657,0.05476173880718385,14.131176213379971,86,3
194,Through the Sikh War A Tale of the Conquest of the Punjaub,Male,1503,38.90751829673985,0.044316860654988174,22.352990450661753,295,31
195,Treasure Island,Male,1244,15.045016077170418,0.04584700200473847,16.08625336927224,74,2
196,Two on a Tower,Male,41,771.3658536585367,0.05257187731774357,16.728787358296117,44,19
197,Typee_A Romance of the South Seas,Male,11,3.1818181818181817,0.06405728786247299,28.15872247761916,192,20
198,Uncle Bernac,Male,23,54.08695652173913,0.051317299924887684,17.111892043857182,57,35
199,Under Drake's Flag,Male,885,61.437288135593214,0.04650320552336333,24.180534434064736,208,14
200,Under the Greenwood Tree,Male,1492,18.30495978552279,0.050203887094211724,16.31829170024174,37,35
201,Under the Lilacs,Female,1554,25.630630630630627,0.05478193740044756,20.757605495583906,119,36
202,Under Wellington's Command,Male,1805,33.11468144044321,0.04535252390782865,21.315449256625726,198,10
203,Washington Square,Male,1789,13.479597540525432,0.05927693825115984,13.466559226430302,29,7
204,Waverley,Male,3837,35.36591086786552,0.05709957750206076,32.74156775179222,300,70
205,When London Burned,Male,2070,32.506280193236705,0.03798399868127469,20.629213483146067,230,12
206,When the Sleeper Wakes,Male,1602,12.659176029962547,0.06444827485465543,12.570222222222224,94,19
207,White Jacket,Male,1114,89.01795332136446,0.06087257739706323,21.52045900649253,169,24
208,With Clive in India,Male,1038,58.60115606936416,0.044916043498507134,20.491634918005637,369,14
209,With Frederick the Great,Male,1632,33.870710784313715,0.04626689042368972,20.717781402936374,595,20
210,With Lee in Virginia,Male,1832,36.058951965065496,0.041682701071435804,19.84886807181889,287,6
211,With Wolfe in Canada,Male,1622,44.70098643649815,0.04161023026053701,20.103842489679266,182,16
212,Won By the Sword,Male,1757,41.01422879908936,0.043293483972674726,22.38992537313433,311,16
213,Work_A Story of Experience,Female,1714,27.100350058343054,0.059341024151381865,22.038503450780965,69,32
214,Wulf the Saxon,Male,1737,37.83937823834197,0.03938974914228316,22.305384230705123,465,16
